1220/D,OPTICA REN.LOGAN 10/13,,OPTICA,RENAULT,DEPO,1900.64,NO,NO
1220/I,OPTICA REN.LOGAN 10/13,,OPTICA,RENAULT,DEPO,1900.64,NO,NO
123,PORTAEQUIPAJE FIAT DUNA-UNO 5 PTAS,,PORTAEQUIPAJE,FIAT,RS,1034.28,NO,NO
1230/D,OPTICA REN.TWINGO 99/06,,OPTICA,RENAULT,DEPO,2235.10,NO,NO
1230/I,OPTICA REN.TWINGO 99/06,,OPTICA,RENAULT,DEPO,2235.10,NO,NO
124,PORTAEQUIPAJE FIAT PALIO/SIENA 5 PTAS,,PORTAEQUIPAJE,FIAT,RS,1034.28,NO,NO
1242/1D,OPTICA VW GACEL 88/91,,OPTICA,VW,RCD,821.28,NO,NO
1242/1I,OPTICA VW GACEL 88/91,,OPTICA,VW,RCD,821.28,NO,NO
1245/1/D,OPTICA VW GOL III 99/05 BIPARABOLA,,OPTICA,VW,DEPO,1292.24,NO,NO
1245/1/I,OPTICA VW GOL III 99/05 BIPARABOLA,,OPTICA,VW,DEPO,1292.24,NO,NO
125,PORTAEQUIPAJE FIAT PALIO 3 PTAS,,PORTAEQUIPAJE,FIAT,RS,1034.28,NO,NO
1259/D,OPTICA VW GOLF 95/98 SIMPLE,,OPTICA,VW,DEPO,2074.02,NO,NO
1259/I,OPTICA VW GOLF 95/98 SIMPLE,,OPTICA,VW,DEPO,2074.02,NO,NO
127,PORTAEQUIPAJE FIAT FIORINO-FIORUNO (PARRILLA),,PORTAEQUIPAJE,FIAT,RS,2677.50,NO,NO
1278/D,OPTICA VW POLO 00/03,,OPTICA,VW,DEPO,1685.20,NO,NO
1278/I,OPTICA VW POLO 00/03,,OPTICA,VW,DEPO,1685.20,NO,NO
128,PORTAEQUIPAJE FIAT UNO 3 PTAS,,PORTAEQUIPAJE,FIAT,RS,1034.28,NO,NO
129,PORTAEQUIPAJE FORD ESCORT 97,,PORTAEQUIPAJE,FORD,RS,1034.28,NO,NO
1298/D,OPTICA REN.TRAFIC 88/92 M/V (FITAM),,OPTICA,RENAULT,FITAM,862.83,NO,NO
1298/I,OPTICA REN.TRAFIC 88/92 M/V (FITAM),,OPTICA,RENAULT,FITAM,862.83,NO,NO
130,PORTAEQUIPAJE FORD FIESTA 2002/2007 5 PTAS MAX,,PORTAEQUIPAJE,FORD,RS,1034.28,NO,NO
13003,PARAG.DEL.FIAT 125 COCHE CROMADO,,PARAGOLPES,FIAT,TESGA,1216.80,NO,NO
13005,PARAG.DEL.FIAT 128 M/V CROMADO,,PARAGOLPES,FIAT,TESGA,972.06,NO,NO
130058,PARAG.TRAS.FIAT 128 SUPER EUROPA CROMADO,,PARAGOLPES,FIAT,TESGA,1483.26,NO,NO
130059,PARAG.DEL.FIAT 128 SUPER EUROPA CROMADO,,PARAGOLPES,FIAT,TESGA,1483.26,NO,NO
13009,PARAG.DEL.FIAT 600 S CROMADO,,PARAGOLPES,FIAT,TESGA,1056.59,NO,NO
13011,PARAG.DEL.FIAT DUCATO 04/-,,PARAGOLPES,PEUGEOT,TAIWAN,2156.72,NO,NO
13013,PARAG.DEL.FIAT DUCATO 94/04 MUNDOPLAS,,PARAGOLPES,PEUGEOT,MUNDOPLS,3110.43,NO,NO
13016,PARAG.DEL.FIAT DUNA NEGRO,,PARAGOLPES,FIAT,LOMA PLAST,388.80,NO,NO
13021,PARAG.DEL.FIAT PALIO 04 /- 1.8 NEG/LISO,,PARAGOLPES,FIAT,LOMA PLAST,532.80,NO,NO
13022,PARAG.DEL.FIAT PUNTO 07/13,,PARAGOLPES,FIAT,NACIONAL,1005.07,NO,NO
13023,PARAG.DEL.FIAT PALIO 2008/09 FASE III,,PARAGOLPES,FIAT,NACIONAL,765.78,NO,NO
13024,PARAG.DEL.FIAT PALIO 10/- SIENA 08/-,,PARAGOLPES,FIAT,LOMA PLAST,763.20,NO,NO
13025,PARAG.DEL.FIAT PALIO ADVENTURE/STRADA 09/12 S/AUX,,PARAGOLPES,FIAT,LOMA PLAST,2592.00,NO,NO
13026,PARAG.DEL.FIAT PALIO ADVENTURE/STRADA 04/08,,PARAGOLPES,FIAT,LOMA PLAST,1468.80,NO,NO
13027,PARAG.DEL.FIAT PALIO-SIENA 1.3 01/07 FIRE NEG.LISO C/AGJ,,PARAGOLPES,FIAT,LOMA PLAST,806.40,NO,NO
13028,PARAG.DEL.FIAT PALIO-SIENA 1.3 01/07 FIRE NEG.LISO S/AGJ,,PARAGOLPES,FIAT,LOMA PLAST,806.40,NO,NO
13029,PARAG.DEL.FIAT PALIO-SIENA 97/01 NEGRO C/AGJ,,PARAGOLPES,FIAT,NACIONAL,657.07,NO,NO
13030,PARAG.DEL.FIAT PALIO-SIENA 97/01 NEGRO S/AGJ,,PARAGOLPES,FIAT,NACIONAL,639.22,NO,NO
13031,PARAG.DEL.FIAT SIENA 2013->,,PARAGOLPES,FIAT,LOMA PLAST,1166.40,NO,NO
13032,PARAG.DEL.FIAT PALIO 2012->,,PARAGOLPES,FIAT,LOMA PLAST,1036.80,NO,NO
13034,PARAG.DEL.FIAT REGATTA,,PARAGOLPES,FIAT,NACIONAL,1269.50,NO,NO
